,file_name,no loop transformation,loop tiling,loop interchange,loop skewing,loop fusion,loop distribution,loop reverse,loop shifting,other loop transformation
275,3314422224_00,0,1,1,1,1,1,0,0,1
276,3316322326_04,0,1,1,0,1,0,0,0,1
277,3324312224_07,0,1,1,1,1,0,0,1,1
278,3514422326_24,0,1,1,0,1,0,0,0,1
279,3524422328_01,0,1,1,1,1,1,0,1,1
280,3518422226_09,0,1,1,0,1,0,0,1,1
281,3316312228_56,0,1,1,1,1,0,0,0,1
282,3324422228_99,0,1,1,0,1,0,0,0,1
283,3526322328_24,0,1,0,1,1,1,0,1,1
284,3524312224_78,0,1,1,1,1,0,0,0,1
285,3516312226_09,0,1,0,0,1,1,0,0,1
286,3418422224_55,0,1,1,0,0,1,0,0,0
287,3528412328_89,0,1,1,0,0,1,0,0,1
288,3328312224_26,0,1,0,0,0,1,0,0,0
289,3426312228_81,0,1,1,0,1,1,0,0,1
290,3518412224_00,0,1,1,0,1,0,0,0,1
291,3426322224_96,0,1,1,1,1,0,0,1,1
292,3426312228_09,0,1,0,0,1,1,0,0,1
293,3316322328_60,0,1,1,1,1,0,0,0,1
294,3414322324_29,0,1,0,0,1,1,0,0,0
295,3514422326_98,0,1,0,1,1,1,0,0,1
296,3324312224_64,0,1,1,0,1,0,0,0,1
297,3528312328_70,0,0,0,0,1,0,0,1,1
298,3324412226_98,0,1,1,0,1,0,0,0,1
299,3324422326_46,0,1,1,0,1,0,0,0,1
300,3518422328_44,0,1,1,0,0,1,0,0,1
301,3428322228_40,0,1,1,0,1,0,0,0,1
302,3428422324_02,0,1,0,0,0,0,0,0,1
303,3516412324_05,0,1,0,0,0,1,0,0,1
304,3526312324_36,0,1,1,0,0,1,0,0,0
305,3416322226_04,0,1,1,1,1,1,0,0,1
306,3326422326_21,0,0,1,0,1,1,0,0,1
307,3524322324_25,0,1,0,0,1,1,0,0,0
308,3326312226_96,0,1,1,0,0,1,0,0,0
309,3418412326_40,0,1,1,0,0,1,0,0,0
310,3426312328_65,0,1,0,0,1,0,0,1,1
311,3418412226_71,0,1,0,0,0,0,0,0,1
312,3314412228_37,0,1,0,0,1,1,0,1,1
313,3326412328_88,0,1,1,0,1,0,0,0,1
314,3428322328_10,0,1,1,0,1,0,0,0,1
315,3318422324_12,0,1,0,1,1,0,0,0,1
316,3324322224_14,0,1,0,1,1,1,0,0,0
317,3426312328_18,0,1,0,1,1,0,0,0,0
318,3324412228_75,0,0,0,0,1,0,0,0,1
319,3428312228_71,0,1,1,0,1,0,0,0,1
320,3424422326_97,0,1,1,0,0,1,0,0,0
321,3414412224_23,0,1,1,0,1,0,0,0,1
322,3528422224_71,0,1,0,1,1,1,0,1,1
323,3418412328_14,0,1,1,1,1,0,0,0,1
324,3528412228_70,0,1,1,0,1,1,0,0,1
325,3328322326_38,0,1,1,0,1,0,0,0,1
326,3518412326_90,0,1,1,0,1,1,0,1,1
327,3516422228_18,0,1,1,0,0,1,0,0,0
328,3428422228_14,0,1,1,1,1,0,0,1,1
329,3416412228_50,0,1,1,1,1,1,0,1,1
330,3328412224_06,0,1,1,1,0,1,0,0,0
331,3318322328_40,0,0,0,0,1,0,0,0,1
332,3416322226_49,0,1,0,1,1,1,0,0,0
333,3414412326_69,0,1,1,0,1,0,0,0,1
334,3416322328_60,0,1,1,0,1,0,0,1,1
335,3328322228_69,0,0,1,1,1,0,0,0,1
336,3416412228_91,0,1,1,1,1,0,0,1,1
337,3328322326_02,0,1,1,0,1,0,0,0,1
338,3418412328_68,0,1,1,1,1,0,0,0,1
339,3416312224_24,0,1,1,1,1,0,0,0,1
340,3316312228_46,0,1,1,0,1,0,0,0,1
341,3314422326_04,0,1,1,0,0,1,0,0,0
342,3314422328_89,0,1,1,1,1,0,0,0,1
343,3518412324_44,0,1,1,0,1,0,0,0,1
344,3528322324_42,0,1,1,0,1,1,0,0,1
345,3426412224_47,0,1,1,1,1,0,0,0,1
346,3416322328_23,0,1,1,0,0,1,0,0,1
347,3518312228_69,0,1,1,1,1,1,0,1,1
348,3526412328_48,0,1,1,0,1,0,0,1,1
349,3326312326_91,0,1,1,0,1,0,0,0,1
350,3318322228_33,0,1,1,0,1,0,0,0,1
351,3328322228_30,0,1,1,0,1,0,0,0,1
352,3526412326_14,0,1,0,0,0,1,0,0,1
353,3314312324_02,0,1,1,0,1,0,0,0,1
354,3514412228_62,0,1,1,0,0,1,0,0,1
355,3316312324_56,0,1,1,1,1,0,0,0,1
356,3516322224_16,0,1,1,0,1,1,0,0,1
357,3424412326_59,0,1,0,1,1,1,0,0,0
358,3418322224_40,0,1,1,1,1,0,0,0,1
359,3528422326_72,0,1,1,0,1,0,0,0,1
360,3424312224_75,0,1,1,1,1,0,0,0,1
361,3324312228_21,0,1,1,0,1,1,0,0,1
362,3528412228_16,0,1,1,0,1,0,0,0,1
363,3326322326_55,0,0,1,0,1,1,0,0,1
364,3418422324_95,0,1,1,0,1,0,0,0,1
365,3524412324_55,0,1,0,0,0,0,0,0,1
366,3414422226_71,0,1,1,1,1,0,0,1,1
367,3414322224_33,0,1,1,0,1,0,0,0,1
368,3528312326_12,0,1,1,0,1,0,0,0,1
369,3328412226_37,0,1,1,0,1,0,0,0,1
370,3516322226_49,0,1,1,0,1,1,0,1,1
371,3318412226_14,0,1,1,1,1,0,0,0,1
372,3414312326_65,0,1,1,0,1,0,0,0,1
373,3526422226_97,0,1,0,1,1,1,0,0,1
374,3524412326_58,0,1,1,1,1,0,0,0,1
375,3326322226_01,0,1,1,0,1,0,0,1,1
376,3426412326_89,0,1,1,1,1,0,0,1,1
377,3418312326_17,0,1,1,0,1,0,0,0,1
378,3326422228_87,0,1,1,1,1,0,0,0,1
379,3426312326_71,0,1,1,1,1,0,0,0,1
380,3524312224_49,0,1,0,1,0,1,0,1,1
381,3324422226_80,0,1,1,0,1,1,0,1,1
382,3328322326_90,0,1,1,1,1,0,0,0,1
383,3524422326_68,0,1,1,1,1,0,0,0,1
384,3316322328_37,0,1,1,0,0,1,0,0,0
385,3326312228_34,0,1,1,0,1,0,0,0,1
386,3318322326_77,0,1,0,1,1,0,0,0,1
387,3516412224_43,0,1,1,1,1,0,0,0,1
388,3318312226_67,0,1,1,0,1,0,0,0,1
389,3426312326_99,0,1,1,1,1,1,0,0,1
390,3518312226_93,0,1,1,1,1,0,0,1,1
391,3524412326_00,0,1,0,0,0,0,0,0,1
392,3528312326_04,0,0,0,0,1,0,0,0,1
393,3324312224_86,0,1,0,0,0,0,0,0,1
394,3314312228_77,0,1,1,0,1,0,0,1,1
395,3416322224_73,0,1,1,0,1,0,0,1,1
396,3518412326_30,0,1,1,1,1,0,0,0,1
397,3326312326_79,0,1,1,1,1,0,0,0,1
398,3318312228_24,0,1,0,1,1,0,0,1,1
399,3416412228_32,0,1,1,0,1,0,0,1,1
400,3524412228_58,0,1,1,0,1,0,0,1,1
401,3516312326_89,0,1,1,0,1,1,0,1,1
402,3526322326_90,0,1,0,0,0,0,0,0,1
403,3416312228_44,0,1,1,1,1,0,0,0,1
404,3428322224_05,0,1,1,0,1,0,0,0,1
405,3318422224_75,0,1,1,0,1,0,0,0,1
406,3418412328_90,0,1,1,0,1,1,0,0,0
407,3314412324_25,0,1,1,0,1,1,0,1,1
408,3324422328_92,0,1,1,0,1,0,0,0,1
409,3316412328_62,0,1,1,0,1,0,0,0,1
410,3324412328_18,0,1,0,1,1,0,0,0,1
411,3316412326_96,0,1,1,0,1,1,0,0,0
412,3428312326_99,0,1,1,0,1,0,0,0,1
413,3416412224_02,0,1,0,0,1,1,0,0,0
414,3428312328_36,0,1,1,1,1,0,0,1,1
415,3414312228_72,0,1,1,1,1,0,0,1,1
416,3428422324_01,0,1,0,1,0,1,0,0,0
417,3426422328_93,0,1,1,0,1,0,0,0,1
418,3318322324_09,0,1,1,1,0,1,0,0,0
419,3428312226_73,0,1,1,0,1,0,0,0,1
420,3414412326_48,0,1,1,0,1,1,0,0,1
421,3426312328_79,0,1,1,1,1,0,0,0,1
422,3528312226_06,0,1,1,0,1,1,0,0,0
423,3328422226_33,0,1,0,1,0,1,0,0,0
424,3414412326_00,0,1,0,0,1,1,0,0,0
425,3518412224_66,0,1,1,0,1,1,0,1,1
426,3516412226_95,0,1,1,0,1,0,0,1,1
427,3326422224_03,0,1,1,0,1,0,0,0,1
428,3314412328_43,0,1,1,0,1,0,0,0,1
429,3528322228_86,0,1,1,1,1,0,0,1,1
430,3318312226_32,0,1,0,0,0,1,0,0,0
431,3418412226_63,0,0,1,0,1,0,0,0,1
432,3516412224_69,0,1,1,1,1,0,0,0,1
433,3526422228_34,0,1,1,0,1,1,0,0,1
434,3326422228_39,0,1,1,0,1,1,0,0,0
435,3524322224_29,0,1,0,0,0,0,0,0,1
436,3526322326_70,0,1,0,0,1,1,0,0,1
437,3326312226_85,0,1,1,1,1,0,0,0,1
438,3326412226_07,0,0,0,0,1,0,0,0,1
439,3516422324_66,0,1,1,0,1,0,0,1,1
440,3518422226_10,0,1,1,0,1,1,0,0,0
441,3514412228_80,0,1,1,1,1,0,0,0,1
442,3418312324_35,0,1,0,0,1,1,0,1,1
443,3424322226_29,0,0,0,0,1,1,0,0,1
444,3316312324_61,0,1,1,0,1,0,0,0,1
445,3528412324_72,0,1,1,1,1,0,0,0,1
446,3318312228_06,0,0,0,0,1,0,0,0,1
447,3514412326_75,0,1,1,0,1,1,0,0,1
448,3318422324_59,0,1,1,1,1,0,0,0,1
449,3314422328_09,0,1,1,0,1,0,0,0,1
450,3428422228_56,0,1,1,1,1,0,0,0,1
451,3326322224_57,0,1,1,0,1,0,0,1,1
452,3528422226_38,0,1,0,0,1,0,0,1,1
453,3326312324_35,0,1,1,0,1,0,0,0,1
454,5326412226_45,0,1,0,0,1,0,0,1,1
455,3326412224_18,0,1,1,0,1,0,0,0,1
456,3418322224_79,0,1,1,0,1,0,0,0,1
457,3426422324_24,0,1,1,0,1,1,0,1,1
458,3428312224_52,0,1,1,0,1,1,0,0,0
459,3414322228_51,0,1,1,0,0,1,0,0,1
460,3326422328_34,0,1,1,0,1,0,0,0,1
461,3326322224_97,0,1,1,0,1,0,0,0,1
